vendor_a,vendor_b,observed_shared_tenders,vendor_a_tenders,vendor_b_tenders,expected_shared_tenders,enrichment_ratio,p_value,surprise_score,dominant_category,category_share,dominant_region,region_share,context_concentration,contextual_adjustment,contextual_enrichment
V0182,V0537,3,35,32,0.448,6.696,0.009444970279364024,2.025,WATER_INFRASTRUCTURE,0.9,KA-CENTRAL,1.0,0.94,0.577,3.864
V0030,V0184,3,18,63,0.454,6.614,0.009500886519581893,2.022,IT_SERVICES,1.0,KA-NORTH,0.81,0.924,0.584,3.864
V0249,V0537,3,37,32,0.474,6.334,0.011020125071052154,1.958,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.667,0.867,0.61,3.864
V0020,V0529,5,85,24,0.816,6.127,0.0010304515930733998,2.987,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.552,0.821,0.631,3.864
V0047,V0079,4,55,30,0.66,6.061,0.0037580061519732846,2.425,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.515,0.806,0.637,3.863
V0259,V0392,3,39,33,0.515,5.828,0.013863618172171608,1.858,IT_SERVICES,0.75,KA-NORTH,0.75,0.75,0.662,3.861
V0082,V0301,3,32,36,0.461,6.51,0.01021470456987748,1.991,FURNITURE,1.0,KA-BENGALURU,0.762,0.905,0.593,3.859
V0079,V0485,3,30,42,0.504,5.952,0.013063206737978655,1.884,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.455,0.782,0.648,3.858
V0039,V0362,3,56,26,0.582,5.151,0.019219639956571485,1.716,BUILDING_CONSTRUCTION,0.625,TN-NORTH,0.458,0.558,0.749,3.857
V0313,V0332,4,28,51,0.571,7.003,0.0021921697398292242,2.659,WATER_INFRASTRUCTURE,1.0,KA-CENTRAL,1.0,1.0,0.55,3.852
V0317,V0485,3,35,42,0.588,5.102,0.0198715363307631,1.702,CIVIL_MAINTENANCE,0.545,TN-NORTH,0.545,0.545,0.755,3.85
V0119,V0264,3,64,18,0.461,6.51,0.009923231143632805,2.003,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.773,0.909,0.591,3.847
V0212,V0438,4,42,44,0.739,5.411,0.00574341445504397,2.241,WATER_INFRASTRUCTURE,0.571,KA-SOUTH,0.75,0.643,0.711,3.846
V0243,V0481,3,20,64,0.512,5.859,0.013367532090749036,1.874,MEDICAL_SUPPLIES,1.0,KA-BENGALURU,0.409,0.764,0.656,3.846
V0013,V0062,3,32,40,0.512,5.859,0.013653492504441702,1.865,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.409,0.764,0.656,3.846
V0080,V0255,3,39,33,0.515,5.828,0.013863618172171608,1.858,CIVIL_MAINTENANCE,1.0,AP-SOUTH,0.391,0.757,0.66,3.844
V0434,V0451,3,38,31,0.471,6.367,0.01086235893329596,1.964,ELECTRICAL_EQUIPMENT,1.0,KA-CENTRAL,0.706,0.882,0.603,3.839
V0061,V0336,3,37,35,0.518,5.792,0.01410600425352082,1.851,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.375,0.75,0.662,3.837
V0074,V0531,3,28,43,0.482,6.229,0.011511472064916805,1.939,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.633,0.853,0.616,3.837
V0071,V0303,3,47,27,0.508,5.91,0.013279885772354137,1.877,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.45,0.78,0.649,3.836
V0078,V0346,3,36,41,0.59,5.081,0.020093935680455626,1.697,WATER_INFRASTRUCTURE,0.636,KA-NORTH,0.409,0.545,0.755,3.834
V0014,V0082,3,46,32,0.589,5.095,0.01991755563005134,1.701,FURNITURE,0.55,KA-CENTRAL,0.55,0.55,0.752,3.834
V0117,V0132,3,20,58,0.464,6.466,0.01020788621596707,1.991,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.762,0.905,0.593,3.833
V0331,V0355,3,18,69,0.497,6.039,0.012200242540037577,1.914,MEDICAL_SUPPLIES,1.0,KA-NORTH,0.529,0.812,0.635,3.833
V0062,V0502,5,40,53,0.848,5.896,0.00132506618400015,2.878,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.444,0.778,0.65,3.832
V0344,V0513,5,38,55,0.836,5.981,0.0012376194200092907,2.907,ELECTRICAL_EQUIPMENT,0.85,KA-SOUTH,0.725,0.8,0.64,3.828
V0320,V0366,3,40,30,0.48,6.25,0.011425345092657488,1.942,WATER_INFRASTRUCTURE,1.0,KA-SOUTH,0.654,0.862,0.612,3.827
V0011,V0338,4,40,45,0.72,5.556,0.005219809004053145,2.282,ELECTRICAL_EQUIPMENT,0.893,KA-NORTH,0.393,0.693,0.688,3.824
V0123,V0276,4,45,41,0.738,5.42,0.0057088260328492495,2.243,BUILDING_CONSTRUCTION,0.724,KA-CENTRAL,0.552,0.655,0.705,3.822
V0072,V0133,5,58,37,0.858,5.825,0.0013938773784109577,2.856,ROAD_CONSTRUCTION,1.0,KA-NORTH,0.41,0.764,0.656,3.822
V0040,V0417,3,35,37,0.518,5.792,0.01410600425352082,1.851,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.391,0.757,0.66,3.82
V0120,V0526,3,44,28,0.493,6.088,0.012261803014965897,1.911,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.571,0.829,0.627,3.818
V0053,V0402,3,44,29,0.51,5.878,0.013510533406754704,1.869,CIVIL_MAINTENANCE,1.0,AP-SOUTH,0.448,0.779,0.649,3.817
V0024,V0248,6,47,46,0.865,6.938,0.00016907882847560658,3.772,CIVIL_MAINTENANCE,1.0,KA-NORTH,1.0,1.0,0.55,3.816
V0195,V0451,3,42,31,0.521,5.76,0.014295761407176541,1.845,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.375,0.75,0.662,3.816
V0007,V0166,3,39,31,0.484,6.203,0.011669546899117735,1.933,BUILDING_CONSTRUCTION,1.0,TN-NORTH,0.64,0.856,0.615,3.814
V0093,V0504,3,34,41,0.558,5.38,0.017225514540845987,1.764,FURNITURE,0.765,TN-NORTH,0.471,0.647,0.709,3.813
V0047,V0485,5,55,42,0.924,5.411,0.001961661651459052,2.707,ELECTRICAL_EQUIPMENT,0.804,KA-SOUTH,0.435,0.657,0.705,3.812
V0016,V0066,6,50,53,1.06,5.66,0.0005287718412990963,3.277,FURNITURE,0.771,KA-SOUTH,0.657,0.726,0.673,3.812
V0308,V0403,3,41,34,0.558,5.38,0.017225514540845987,1.764,ELECTRICAL_EQUIPMENT,0.68,KA-CENTRAL,0.6,0.648,0.708,3.811
V0162,V0495,3,35,36,0.504,5.952,0.013086545801895591,1.883,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.5,0.8,0.64,3.809
V0327,V0364,4,51,31,0.632,6.325,0.00322011824763982,2.492,FURNITURE,1.0,KA-CENTRAL,0.71,0.884,0.602,3.809
V0224,V0313,3,42,28,0.47,6.378,0.010788685871955759,1.967,WATER_INFRASTRUCTURE,1.0,KA-SOUTH,0.739,0.896,0.597,3.807
V0478,V0483,4,30,55,0.66,6.061,0.0037580061519732846,2.425,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.567,0.827,0.628,3.806
V0051,V0390,3,51,23,0.469,6.394,0.010625334198616472,1.974,CIVIL_MAINTENANCE,1.0,KA-CENTRAL,0.75,0.9,0.595,3.804
V0201,V0304,4,38,44,0.669,5.981,0.003986440133365101,2.399,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.522,0.809,0.636,3.804
V0166,V0404,3,31,38,0.471,6.367,0.01086235893329596,1.964,CIVIL_MAINTENANCE,1.0,KA-BENGALURU,0.737,0.895,0.597,3.803
V0024,V0422,3,47,27,0.508,5.91,0.013279885772354137,1.877,CIVIL_MAINTENANCE,1.0,KA-CENTRAL,0.483,0.793,0.643,3.801
V0039,V0166,4,56,31,0.694,5.76,0.004532052198335303,2.344,BUILDING_CONSTRUCTION,0.844,KA-CENTRAL,0.625,0.756,0.66,3.8
V0014,V0301,4,46,36,0.662,6.039,0.00384362149969158,2.415,FURNITURE,0.708,KA-NORTH,1.0,0.825,0.629,3.797
V0052,V0091,8,46,74,1.362,5.875,4.2471363736235285e-05,4.372,CIVIL_MAINTENANCE,1.0,KA-CENTRAL,0.469,0.788,0.646,3.793
V0003,V0188,4,40,43,0.688,5.814,0.0044242290479348375,2.354,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.433,0.773,0.652,3.791
V0093,V0254,3,34,43,0.585,5.13,0.019577133155812096,1.708,FURNITURE,0.714,TN-NORTH,0.381,0.581,0.739,3.789
V0013,V0293,3,32,41,0.525,5.716,0.014604510564147204,1.836,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.375,0.75,0.662,3.787
V0368,V0429,3,50,26,0.52,5.769,0.014161674276979263,1.849,WATER_INFRASTRUCTURE,1.0,KA-CENTRAL,0.412,0.765,0.656,3.784
V0024,V0380,3,47,28,0.526,5.699,0.014679826398259826,1.833,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.368,0.747,0.664,3.782
V0016,V0362,3,50,26,0.52,5.769,0.014161674276979263,1.849,BUILDING_CONSTRUCTION,1.0,KA-NORTH,0.414,0.766,0.656,3.782
V0129,V0495,4,47,36,0.677,5.91,0.004158314498865127,2.381,ELECTRICAL_EQUIPMENT,1.0,KA-CENTRAL,0.5,0.8,0.64,3.782
V0054,V0224,3,33,42,0.554,5.411,0.01695384645082211,1.771,WATER_INFRASTRUCTURE,0.654,KA-CENTRAL,0.692,0.669,0.699,3.781
V0336,V0417,3,35,37,0.518,5.792,0.01410600425352082,1.851,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.429,0.771,0.653,3.781
V0028,V0130,3,45,27,0.486,6.173,0.011789409710633499,1.929,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.654,0.862,0.612,3.78
V0215,V0336,4,51,35,0.714,5.602,0.005045893179736816,2.297,IT_SERVICES,0.724,KA-CENTRAL,0.724,0.724,0.674,3.777
V0028,V0496,3,45,26,0.468,6.41,0.010611579396297028,1.974,WATER_INFRASTRUCTURE,1.0,KA-CENTRAL,0.783,0.913,0.589,3.776
V0122,V0310,3,36,35,0.504,5.952,0.013086545801895591,1.883,FURNITURE,1.0,KA-BENGALURU,0.533,0.813,0.634,3.774
V0027,V0061,3,32,37,0.474,6.334,0.011020125071052154,1.958,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.75,0.9,0.595,3.769
V0166,V0298,3,31,43,0.533,5.626,0.015240109894063002,1.817,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.333,0.733,0.67,3.769
V0012,V0119,3,19,64,0.486,6.168,0.011571089862129593,1.937,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.667,0.867,0.61,3.762
V0340,V0429,3,47,26,0.489,6.137,0.011960163752979916,1.922,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.654,0.862,0.612,3.758
V0308,V0383,3,41,36,0.59,5.081,0.020093935680455626,1.697,ELECTRICAL_EQUIPMENT,0.6,KA-CENTRAL,0.55,0.58,0.739,3.755
V0224,V0371,3,42,31,0.521,5.76,0.014295761407176541,1.845,WATER_INFRASTRUCTURE,1.0,AP-SOUTH,0.435,0.774,0.652,3.754
V0366,V0525,3,30,41,0.492,6.098,0.01222832122230094,1.913,WATER_INFRASTRUCTURE,1.0,KA-BENGALURU,0.636,0.855,0.615,3.753
V0191,V0368,3,22,50,0.44,6.818,0.008871852360303517,2.052,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,1.0,1.0,0.55,3.75
V0027,V0413,3,32,40,0.512,5.859,0.013653492504441702,1.865,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.5,0.8,0.64,3.75
V0016,V0076,3,50,22,0.44,6.818,0.008871852360303517,2.052,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,1.0,1.0,0.55,3.75
V0086,V0513,3,20,55,0.44,6.818,0.008813170462880103,2.055,IT_SERVICES,1.0,KA-NORTH,1.0,1.0,0.55,3.75
V0214,V0513,3,20,55,0.44,6.818,0.008813170462880103,2.055,IT_SERVICES,1.0,KA-NORTH,1.0,1.0,0.55,3.75
V0011,V0029,3,40,33,0.528,5.682,0.014854210605755454,1.828,ELECTRICAL_EQUIPMENT,1.0,KA-CENTRAL,0.391,0.757,0.66,3.748
V0129,V0433,4,47,35,0.658,6.079,0.003747465305499664,2.426,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.633,0.853,0.616,3.745
V0122,V0379,4,36,53,0.763,5.241,0.006419712791527519,2.192,FURNITURE,0.706,KA-CENTRAL,0.529,0.635,0.714,3.743
V0244,V0310,4,50,35,0.7,5.714,0.004696548288524476,2.328,FURNITURE,0.833,KA-BENGALURU,0.667,0.767,0.655,3.743
V0182,V0201,3,35,38,0.532,5.639,0.015169715515609262,1.819,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.37,0.748,0.663,3.741
V0121,V0402,3,43,29,0.499,6.014,0.012687506557621167,1.897,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.6,0.84,0.622,3.741
V0066,V0082,4,53,32,0.678,5.896,0.004172267412791032,2.38,FURNITURE,1.0,KA-CENTRAL,0.531,0.812,0.634,3.74
V0240,V0481,3,21,64,0.538,5.58,0.01531448269604941,1.815,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.333,0.733,0.67,3.739
V0414,V0513,4,31,55,0.682,5.865,0.0042449590873534825,2.372,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.515,0.806,0.637,3.738
V0212,V0255,3,42,33,0.554,5.411,0.01695384645082211,1.771,WATER_INFRASTRUCTURE,0.739,KA-SOUTH,0.609,0.687,0.691,3.738
V0122,V0319,3,36,34,0.49,6.127,0.012083184062664452,1.918,FURNITURE,1.0,KA-CENTRAL,0.667,0.867,0.61,3.737
V0019,V0172,3,23,48,0.442,6.793,0.008984941922175435,2.046,WATER_INFRASTRUCTURE,1.0,KA-CENTRAL,1.0,1.0,0.55,3.736
V0126,V0525,3,30,41,0.492,6.098,0.01222832122230094,1.913,WATER_INFRASTRUCTURE,1.0,KA-SOUTH,0.652,0.861,0.613,3.736
V0317,V0434,3,35,38,0.532,5.639,0.015169715515609262,1.819,ELECTRICAL_EQUIPMENT,1.0,KA-CENTRAL,0.375,0.75,0.662,3.736
V0248,V0337,3,46,24,0.442,6.793,0.009004596736443935,2.046,CIVIL_MAINTENANCE,1.0,KA-NORTH,1.0,1.0,0.55,3.736
V0047,V0383,5,55,36,0.792,6.313,0.0009611925156671342,3.017,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.769,0.908,0.592,3.734
V0020,V0077,3,85,14,0.476,6.303,0.010526635321526565,1.978,MEDICAL_SUPPLIES,1.0,KA-SOUTH,0.765,0.906,0.592,3.734
V0254,V0280,3,43,36,0.619,4.845,0.022810636931144476,1.642,FURNITURE,0.55,KA-CENTRAL,0.45,0.51,0.77,3.733
V0040,V0495,3,35,36,0.504,5.952,0.013086545801895591,1.883,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.571,0.829,0.627,3.733
V0184,V0214,3,63,20,0.504,5.952,0.012806143894305455,1.893,IT_SERVICES,1.0,KA-NORTH,0.571,0.829,0.627,3.733
V0419,V0488,4,56,36,0.806,4.96,0.007808668127956524,2.107,VEHICLE_SUPPLIES,0.667,KA-SOUTH,0.375,0.55,0.752,3.732
V0256,V0433,3,40,35,0.56,5.357,0.01743085524091731,1.759,CIVIL_MAINTENANCE,0.708,KA-CENTRAL,0.625,0.675,0.696,3.73
V0053,V0126,3,44,30,0.528,5.682,0.014829508041545796,1.829,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.409,0.764,0.656,3.729
V0024,V0130,3,47,27,0.508,5.91,0.013279885772354137,1.877,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.552,0.821,0.631,3.727
V0133,V0368,4,37,50,0.74,5.405,0.005752479703201007,2.24,ROAD_CONSTRUCTION,0.806,KA-NORTH,0.516,0.69,0.689,3.726
V0023,V0502,6,44,53,0.933,6.432,0.00025898085083676033,3.587,ELECTRICAL_EQUIPMENT,1.0,KA-NORTH,0.841,0.936,0.579,3.722
V0218,V0366,3,43,30,0.516,5.814,0.013930207154188235,1.856,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.5,0.8,0.64,3.721
V0062,V0513,5,40,55,0.88,5.682,0.0015690132823426332,2.804,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.419,0.767,0.655,3.72
V0016,V0274,4,50,37,0.74,5.405,0.005752479703201007,2.24,BUILDING_CONSTRUCTION,0.607,KA-SOUTH,0.821,0.693,0.688,3.72
V0129,V0199,3,47,27,0.508,5.91,0.013279885772354137,1.877,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.56,0.824,0.629,3.719
V0228,V0335,3,34,38,0.517,5.805,0.01401482900248467,1.853,VEHICLE_SUPPLIES,0.667,KA-NORTH,1.0,0.8,0.64,3.715
V0291,V0512,3,38,34,0.517,5.805,0.01401482900248467,1.853,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.5,0.8,0.64,3.715
V0123,V0242,4,45,41,0.738,5.42,0.0057088260328492495,2.243,BUILDING_CONSTRUCTION,0.618,KA-CENTRAL,0.824,0.7,0.685,3.713
V0319,V0327,4,34,51,0.694,5.767,0.004536847766827411,2.343,FURNITURE,1.0,KA-NORTH,0.483,0.793,0.643,3.709
V0340,V0438,4,47,44,0.827,4.836,0.008586173555638753,2.066,WATER_INFRASTRUCTURE,0.519,KA-CENTRAL,0.519,0.519,0.767,3.708
V0381,V0478,3,41,30,0.492,6.098,0.01222832122230094,1.913,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.68,0.872,0.608,3.705
V0307,V0528,3,50,25,0.5,6.0,0.012704290126295103,1.896,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,0.625,0.85,0.617,3.705
V0230,V0458,3,41,35,0.574,5.226,0.018628675991333363,1.73,VEHICLE_SUPPLIES,0.647,KA-NORTH,0.647,0.647,0.709,3.704
V0248,V0489,3,46,27,0.497,6.039,0.012521747591011498,1.902,CIVIL_MAINTENANCE,1.0,KA-CENTRAL,0.65,0.86,0.613,3.702
V0042,V0345,3,49,27,0.529,5.669,0.014874140141152951,1.828,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.429,0.771,0.653,3.701
V0166,V0242,3,31,41,0.508,5.901,0.013386018675149528,1.873,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,0.571,0.829,0.627,3.701
V0293,V0434,3,41,38,0.623,4.814,0.023211358607770925,1.634,IT_SERVICES,0.571,KA-SOUTH,0.429,0.514,0.769,3.7
V0061,V0241,3,37,34,0.503,5.962,0.013028291033231297,1.885,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.609,0.843,0.62,3.699
V0014,V0016,5,46,50,0.92,5.435,0.0019286292077312995,2.715,FURNITURE,0.581,KA-SOUTH,0.903,0.71,0.681,3.699
V0019,V0332,3,23,51,0.469,6.394,0.010625334198616472,1.974,WATER_INFRASTRUCTURE,1.0,KA-CENTRAL,0.842,0.937,0.578,3.698
V0080,V0129,4,39,47,0.733,5.456,0.0055718584943259325,2.254,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.29,0.716,0.678,3.698
V0242,V0352,3,41,38,0.623,4.814,0.023211358607770925,1.634,FURNITURE,0.579,KA-NORTH,0.421,0.516,0.768,3.697
V0039,V0076,3,56,22,0.493,6.088,0.012125542058396757,1.916,BUILDING_CONSTRUCTION,1.0,KA-CENTRAL,0.682,0.873,0.607,3.697
V0254,V0319,3,43,34,0.585,5.13,0.019577133155812096,1.708,FURNITURE,0.579,KA-BENGALURU,0.684,0.621,0.721,3.696
V0061,V0392,3,37,33,0.488,6.143,0.011999792271143847,1.921,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.714,0.886,0.601,3.695
V0129,V0162,4,47,35,0.658,6.079,0.003747465305499664,2.426,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.68,0.872,0.608,3.694
V0040,V0512,3,35,34,0.476,6.303,0.01117920998440935,1.952,ELECTRICAL_EQUIPMENT,1.0,AP-SOUTH,0.8,0.92,0.586,3.694
V0178,V0396,5,49,51,1.0,5.002,0.002801649655156958,2.553,ELECTRICAL_EQUIPMENT,0.531,KA-NORTH,0.656,0.581,0.738,3.694
V0129,V0215,5,47,51,0.959,5.215,0.0023241379759363894,2.634,ELECTRICAL_EQUIPMENT,0.649,KA-SOUTH,0.649,0.649,0.708,3.693
V0244,V0370,4,50,37,0.74,5.405,0.005752479703201007,2.24,FURNITURE,0.8,KA-NORTH,0.56,0.704,0.683,3.693
V0051,V0337,3,51,24,0.49,6.127,0.011970616176560384,1.922,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.708,0.883,0.602,3.692
V0415,V0547,3,29,48,0.557,5.388,0.017104794371779506,1.767,ROAD_CONSTRUCTION,0.833,KA-CENTRAL,0.5,0.7,0.685,3.691
V0212,V0371,3,42,31,0.521,5.76,0.014295761407176541,1.845,WATER_INFRASTRUCTURE,1.0,KA-NORTH,0.5,0.8,0.64,3.686
V0081,V0368,3,25,50,0.5,6.0,0.012704290126295103,1.896,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.643,0.857,0.614,3.686
V0230,V0537,3,41,32,0.525,5.716,0.014604510564147204,1.836,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.474,0.789,0.645,3.685
V0376,V0421,3,27,46,0.497,6.039,0.012521747591011498,1.902,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.667,0.867,0.61,3.684
V0154,V0309,3,24,56,0.538,5.58,0.015440966014126742,1.811,BUILDING_CONSTRUCTION,1.0,KA-SOUTH,0.389,0.756,0.66,3.683
V0241,V0256,3,34,40,0.544,5.515,0.01611322422480889,1.793,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.346,0.738,0.668,3.682
V0218,V0391,3,43,29,0.499,6.014,0.012687506557621167,1.897,CIVIL_MAINTENANCE,1.0,KA-CENTRAL,0.654,0.862,0.612,3.682
V0047,V0344,5,55,38,0.836,5.981,0.0012376194200092907,2.907,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.636,0.855,0.615,3.681
V0091,V0373,4,74,22,0.651,6.143,0.0034534982943396713,2.462,CIVIL_MAINTENANCE,1.0,KA-SOUTH,0.727,0.891,0.599,3.68
V0175,V0215,3,22,51,0.449,6.684,0.009372760538912023,2.028,IT_SERVICES,1.0,KA-SOUTH,1.0,1.0,0.55,3.676
V0259,V0338,4,39,45,0.702,5.698,0.004759801460016133,2.322,IT_SERVICES,0.649,KA-NORTH,1.0,0.789,0.645,3.674
V0397,V0419,3,24,56,0.538,5.58,0.015440966014126742,1.811,VEHICLE_SUPPLIES,1.0,KA-NORTH,0.4,0.76,0.658,3.672
V0027,V0485,3,32,42,0.538,5.58,0.015592507866453324,1.807,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.4,0.76,0.658,3.672
V0062,V0403,3,40,34,0.544,5.515,0.01611322422480889,1.793,ELECTRICAL_EQUIPMENT,1.0,KA-SOUTH,0.357,0.743,0.666,3.671
V0091,V0386,4,74,22,0.651,6.143,0.0034534982943396713,2.462,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.737,0.895,0.597,3.67
V0007,V0370,3,39,37,0.577,5.198,0.018915035919514447,1.723,BUILDING_CONSTRUCTION,0.654,KA-BENGALURU,0.654,0.654,0.706,3.669
V0371,V0455,3,31,43,0.533,5.626,0.015240109894063002,1.817,WATER_INFRASTRUCTURE,1.0,AP-SOUTH,0.435,0.774,0.652,3.667
V0200,V0307,4,30,50,0.6,6.667,0.0026458298642862534,2.577,MEDICAL_SUPPLIES,1.0,KA-CENTRAL,1.0,1.0,0.55,3.667
V0052,V0402,3,46,29,0.534,5.622,0.015246938824440684,1.817,CIVIL_MAINTENANCE,1.0,AP-SOUTH,0.433,0.773,0.652,3.666
V0002,V0379,3,22,53,0.466,6.432,0.010423894443433087,1.982,FURNITURE,1.0,KA-CENTRAL,0.889,0.956,0.57,3.666
V0035,V0277,4,24,71,0.682,5.869,0.004129788068480166,2.384,IT_SERVICES,1.0,KA-NORTH,0.586,0.834,0.624,3.665
V0153,V0320,3,36,40,0.576,5.208,0.018807366197323885,1.726,WATER_INFRASTRUCTURE,0.625,KA-SOUTH,0.708,0.658,0.704,3.665
V0072,V0476,3,58,21,0.487,6.158,0.011715297287455292,1.931,ROAD_CONSTRUCTION,1.0,KA-CENTRAL,0.75,0.9,0.595,3.664
V0126,V0346,3,30,41,0.492,6.098,0.01222832122230094,1.913,WATER_INFRASTRUCTURE,1.0,KA-SOUTH,0.72,0.888,0.6,3.661
V0047,V0509,5,55,42,0.924,5.411,0.001961661651459052,2.707,ELECTRICAL_EQUIPMENT,0.8,KA-NORTH,0.6,0.72,0.676,3.658
V0072,V0339,3,58,22,0.51,5.878,0.013344418817423582,1.875,ROAD_CONSTRUCTION,1.0,KA-SOUTH,0.6,0.84,0.622,3.656
V0040,V0080,3,35,39,0.546,5.495,0.016277928101822443,1.788,ELECTRICAL_EQUIPMENT,1.0,AP-SOUTH,0.36,0.744,0.665,3.655
V0169,V0245,3,35,38,0.532,5.639,0.015169715515609262,1.819,CIVIL_MAINTENANCE,0.636,KA-NORTH,1.0,0.782,0.648,3.655
V0403,V0424,3,34,40,0.544,5.515,0.01611322422480889,1.793,ELECTRICAL_EQUIPMENT,1.0,AP-SOUTH,0.375,0.75,0.662,3.654
V0274,V0352,3,37,38,0.562,5.334,0.01763755913568394,1.754,FURNITURE,0.833,KA-NORTH,0.5,0.7,0.685,3.654
V0368,V0517,3,50,28,0.56,5.357,0.01735146808796902,1.761,ROAD_CONSTRUCTION,0.71,KA-CENTRAL,0.71,0.71,0.681,3.646
V0073,V0114,3,44,31,0.546,5.499,0.0162192373885271,1.79,ROAD_CONSTRUCTION,1.0,KA-NORTH,0.375,0.75,0.662,3.643
V0001,V0065,4,62,26,0.645,6.203,0.0034063220627367917,2.468,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.795,0.918,0.587,3.641
V0080,V0336,3,39,35,0.546,5.495,0.016277928101822443,1.788,ELECTRICAL_EQUIPMENT,1.0,KA-BENGALURU,0.375,0.75,0.662,3.64
V0379,V0413,4,53,40,0.848,4.717,0.009356674484204866,2.029,FURNITURE,0.542,KA-NORTH,0.458,0.508,0.771,3.638
V0065,V0340,3,26,47,0.489,6.137,0.011960163752979916,1.922,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.762,0.905,0.593,3.638
V0184,V0539,3,63,18,0.454,6.614,0.009500886519581893,2.022,IT_SERVICES,1.0,KA-NORTH,1.0,1.0,0.55,3.638
V0114,V0120,3,31,44,0.546,5.499,0.0162192373885271,1.79,WATER_INFRASTRUCTURE,0.692,KA-NORTH,0.846,0.754,0.661,3.634
V0291,V0308,3,38,41,0.623,4.814,0.023211358607770925,1.634,IT_SERVICES,0.545,KA-CENTRAL,0.545,0.545,0.755,3.632
V0390,V0419,3,23,56,0.515,5.823,0.013725801946724632,1.862,VEHICLE_SUPPLIES,1.0,KA-CENTRAL,0.591,0.836,0.624,3.631
V0024,V0362,3,47,26,0.489,6.137,0.011960163752979916,1.922,CIVIL_MAINTENANCE,1.0,KA-NORTH,0.769,0.908,0.592,3.63
V0029,V0291,3,33,38,0.502,5.981,0.0129122277427309,1.889,ELECTRICAL_EQUIPMENT,1.0,AP-SOUTH,0.684,0.874,0.607,3.63
V0172,V0429,3,48,26,0.499,6.01,0.012670041133261327,1.897,WATER_INFRASTRUCTURE,1.0,KA-CENTRAL,0.7,0.88,0.604,3.63
